run_id,version,artifact_version,suite,case_id,is_multiturn,case_failure_type,observed_mismatch,expected_tool,actual_tool,passed,routing_correct,args_correct,failures
v3_B_group_gemini_20260602T151301714070,v3,v3+pc37db15027c7+tb50d674754d3,group,G01_source_check_items,False,wrong_tool,,source_check,source_check,True,True,True,
v3_B_group_gemini_20260602T151301714070,v3,v3+pc37db15027c7+tb50d674754d3,group,G02_specific_url_fetch,False,wrong_tool,,fetch,fetch,True,True,True,
v3_B_group_gemini_20260602T151301714070,v3,v3+pc37db15027c7+tb50d674754d3,group,G03_company_privacy_policy,False,wrong_tool,,policy,policy,True,True,True,
v3_B_group_gemini_20260602T151301714070,v3,v3+pc37db15027c7+tb50d674754d3,group,G04_top_tweets_agents,False,wrong_arg_value,,social_search,social_search,True,True,True,
v3_B_group_gemini_20260602T151301714070,v3,v3+pc37db15027c7+tb50d674754d3,group,G05_no_tool_math,False,out_of_scope,,no_tool,,True,True,True,
v3_B_group_gemini_20260602T151301714070,v3,v3+pc37db15027c7+tb50d674754d3,group,GM01_missing_then_handle,True,missing_info,,timeline,timeline,True,True,True,
v3_B_group_gemini_20260602T151301714070,v3,v3+pc37db15027c7+tb50d674754d3,group,GM02_switch_social_to_web,True,wrong_tool,,lookup,lookup,True,True,True,
v3_B_group_gemini_20260602T151301714070,v3,v3+pc37db15027c7+tb50d674754d3,group,GM03_missing_then_url,True,missing_info,,fetch,fetch,True,True,True,
v3_B_group_gemini_20260602T151301714070,v3,v3+pc37db15027c7+tb50d674754d3,group,GM04_confirm_publish,True,wrong_boundary,,clarify,clarify,True,True,True,
v3_B_group_gemini_20260602T151301714070,v3,v3+pc37db15027c7+tb50d674754d3,group,GM05_paper_then_extract,True,wrong_tool,,paper_text,paper_text,True,True,True,
